Record Date,Parent ID,Classification ID,Classification Description,Current Month Gross Receipts Amount,Current Month Refund Amount,Current Month Net Receipts Amount,Current Fiscal Year to Date Gross Receipts Amount,Current Fiscal Year to Date Refund Amount,Current Fiscal Year to Date Net Receipts Amount,Prior Fiscal Year to Date Gross Receipts Amount,Prior Fiscal Year to Date Refund Amount,Prior Fiscal Year to Date Net Receipts Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2022-09-30,50410105,50410122,Total -- Federal Old-Age and Survivors Insurance Trust Fund,84403342181.34,4448131000.00,79955211181.34,915638816585.94,4448131000.00,911190685585.94,820535183934.24,6501033000.00,814034150934.24,4,14,14,210,T,RSG,4,3.1.1.5,2022,4,2022,3,09,30
2022-09-30,50410101,50410124,Federal Disability Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,15,15,211,S,RSG,3,3.1.2,2022,4,2022,3,09,30
2022-09-30,50410124,50410127,Federal Insurance Contributions Act Taxes,13104000000.00,755343000.00,12348657000.00,146137000000.00,755343000.00,145381657000.00,136412142100.00,1103949000.00,135308193100.00,4,16,16,212,D,SRS,4,3.1.2.1,2022,4,2022,3,09,30
2022-09-30,50410124,50410131,Self-Employment Contributions Act Taxes,1298000000.00,null,1298000000.00,8018000000.00,null,8018000000.00,7390000000.00,null,7390000000.00,4,17,17,214,D,SRS,4,3.1.2.2,2022,4,2022,3,09,30
2022-09-30,50410124,50410137,Adjustments Attributable to Prior Years-FICA,-71275601.33,null,-71275601.33,1248611991.55,null,1248611991.55,-4464687804.32,null,-4464687804.32,4,18,18,219,D,SRS,4,3.1.2.3,2022,4,2022,3,09,30
2022-09-30,50410124,50410141,Adjustments Attributable to Prior Years-SECA,49880.02,null,49880.02,135962490.19,null,135962490.19,54566941.10,null,54566941.10,4,19,19,14361,D,SRS,4,3.1.2.4,2022,4,2022,3,09,30
2022-09-30,50410124,50410145,Total -- Federal Disability Insurance Trust Fund,14330774278.69,755343000.00,13575431278.69,155539574481.74,755343000.00,154784231481.74,139392021236.78,1103949000.00,138288072236.78,4,20,20,220,T,RSG,4,3.1.2.5,2022,4,2022,3,09,30
2022-09-30,50410101,50410149,Federal Hospital Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,21,21,221,S,RSG,3,3.1.3,2022,4,2022,3,09,30
2022-09-30,50410149,50410152,Federal Insurance Contributions Act Taxes,28138000000.00,null,28138000000.00,308332000000.00,null,308332000000.00,280459000000.00,null,280459000000.00,4,22,22,222,D,SRS,4,3.1.3.1,2022,4,2022,3,09,30
2022-09-30,50410149,50410155,Self-Employment Contributions Act Taxes,3784000000.00,null,3784000000.00,22256000000.00,null,22256000000.00,20611000000.00,null,20611000000.00,4,23,23,224,D,SRS,4,3.1.3.2,2022,4,2022,3,09,30
2022-09-30,50410149,50410158,Receipts from Railroad Retirement Board,null,null,null,505300000.00,null,505300000.00,551800000.00,null,551800000.00,4,24,24,226,D,SRS,4,3.1.3.3,2022,4,2022,3,09,30
2022-09-30,50410149,50410164,Adjustments Attributable to Prior Years-FICA,-136374586.41,null,-136374586.41,7922988693.45,null,7922988693.45,-6979850513.50,null,-6979850513.50,4,25,25,228,D,SRS,4,3.1.3.4,2022,4,2022,3,09,30
2022-09-30,50410149,50410168,Adjustments Attributable to Prior Years-SECA,980315.35,null,980315.35,129119820.26,null,129119820.26,176360988.03,null,176360988.03,4,26,26,14362,D,SRS,4,3.1.3.5,2022,4,2022,3,09,30
2022-09-30,50410149,50410172,Total -- Federal Hospital Insurance Trust Fund,31786605728.94,null,31786605728.94,339145408513.71,null,339145408513.71,294818310474.53,null,294818310474.53,4,27,27,229,T,RSG,4,3.1.3.6,2022,4,2022,3,09,30
2022-09-30,50410101,50410176,Railroad Retirement:,null,null,null,null,null,null,null,null,null,4,28,28,230,S,RSG,3,3.1.4,2022,4,2022,3,09,30
2022-09-30,50410176,50410180,Rail Pension and Supplemental Annuity,283136782.10,1154010.80,281982771.30,3264224470.84,14876250.27,3249348220.57,2894279954.37,19718736.42,2874561217.95,4,29,29,235,D,RSG,4,3.1.4.1,2022,4,2022,3,09,30
2022-09-30,50410176,50410184,Social Security Equivalent Account,259482085.59,1027195.46,258454890.13,2378787773.63,13209623.46,2365578150.17,1860526839.06,17870859.67,1842655979.39,4,30,30,240,D,RSG,4,3.1.4.2,2022,4,2022,3,09,30
2022-09-30,50410101,50410188,Total -- Employment and General Retirement,131063341056.66,5205655206.26,125857685850.40,1415966811825.86,5231559873.73,1410735251952.13,1259500322438.98,7642571596.09,1251857750842.89,4,31,31,241,T,RSG,3,3.1.5,2022,4,2022,3,09,30
2022-09-30,50410098,50410192,Unemployment Insurance:,null,null,null,null,null,null,null,null,null,4,32,32,250,S,RSG,2,3.2,2022,4,2022,3,09,30
2022-09-30,50410192,50410196,Deposits by States,377124462.45,null,377124462.45,59293971716.44,null,59293971716.44,50349726585.39,null,50349726585.39,4,33,33,251,D,RSG,3,3.2.1,2022,4,2022,3,09,30
2022-09-30,50410192,50410200,Federal Unemployment Taxes,33101812.09,10910171.09,22191641.00,7045314162.47,118727839.43,6926586323.04,6282037574.59,140898679.77,6141138894.82,4,34,34,254,D,RSG,3,3.2.2,2022,4,2022,3,09,30
2022-09-30,50410192,50410204,Railroad Unemployment Taxes,221936.53,null,221936.53,276894779.26,null,276894779.26,110943469.26,null,110943469.26,4,35,35,255,D,RSG,3,3.2.3,2022,4,2022,3,09,30
2022-09-30,50410192,50410212,Total -- Unemployment Insurance,410448211.07,10910171.09,399538039.98,66616180658.17,118727839.43,66497452818.74,56742707629.24,140898679.77,56601808949.47,4,36,36,269,T,RSG,3,3.2.4,2022,4,2022,3,09,30
2022-09-30,50410098,50410216,Other Retirement:,null,null,null,null,null,null,null,null,null,4,37,37,270,S,RSG,2,3.3,2022,4,2022,3,09,30
2022-09-30,50410216,50410220,Federal Employees' Retirement--Employee Share,624497747.16,null,624497747.16,6270105582.72,null,6270105582.72,5602996898.52,null,5602996898.52,4,38,38,279,D,RSG,3,3.3.1,2022,4,2022,3,09,30
2022-09-30,50410216,50410224,Non-Federal Employees Retirement,1949581.15,null,1949581.15,24322412.78,null,24322412.78,26370892.78,null,26370892.78,4,39,39,284,D,RSG,3,3.3.2,2022,4,2022,3,09,30
2022-09-30,50410216,50410228,Total -- Other Retirement,626447328.31,null,626447328.31,6294427995.50,null,6294427995.50,5629367791.30,null,5629367791.30,4,40,40,285,T,RSG,3,3.3.3,2022,4,2022,3,09,30
2022-09-30,50410098,50410231,Total -- Social Insurance and Retirement Receipts,132100236596.04,5216565377.35,126883671218.69,1488877420479.53,5350287713.16,1483527132766.37,1321872397859.52,7783470275.86,1314088927583.66,4,41,41,286,T,RSG,2,3.4,2022,4,2022,3,09,30
2022-09-30,null,50410234,Excise Taxes:,null,null,null,null,null,null,null,null,null,4,42,42,300,S,RSG,1,4,2022,4,2022,3,09,30
2022-09-30,50410234,50410238,Miscellaneous Excise Taxes,3928563649.82,1107845449.22,2820718200.60,36608766649.07,7070916595.76,29537850053.31,31335505571.49,7996759719.39,23338745852.10,4,43,43,305,D,RSG,2,4.1,2022,4,2022,3,09,30
2022-09-30,50410234,50410241,Airport and Airway Trust Fund,1844228000.00,5524133.84,1838703866.16,11403211953.66,26586118.29,11376625835.37,8196915093.65,13272876.25,8183642217.40,4,44,44,308,D,RSG,2,4.2,2022,4,2022,3,09,30
2022-09-30,50410234,50410244,Highway Trust Fund,7062617154.05,64652000.00,6997965154.05,47075961931.85,444500000.00,46631461931.85,43904296599.96,441498000.00,43462798599.96,4,45,45,310,D,RSG,2,4.3,2022,4,2022,3,09,30
2022-09-30,50410234,50410247,Black Lung Disability Trust Fund,20848000.00,null,20848000.00,180320484.00,null,180320484.00,285997910.00,null,285997910.00,4,46,46,313,D,RSG,2,4.4,2022,4,2022,3,09,30
2022-09-30,50410234,50410250,Total -- Excise Taxes,12856256803.87,1178021583.06,11678235220.81,95268261018.58,7542002714.05,87726258304.53,83722715175.10,8451530595.64,75271184579.46,4,47,47,314,T,RSG,2,4.5,2022,4,2022,3,09,30
2022-09-30,null,50410253,Estate and Gift Taxes,3443187003.71,-19242300.84,3462429304.55,33355276406.96,804878362.21,32550398044.75,28045738889.81,905663683.66,27140075206.15,4,48,48,350,D,RSG,1,5,2022,4,2022,3,09,30
2022-09-30,null,50410255,Customs Duties,9374165720.89,633112143.18,8741053577.71,106092111255.79,6184545258.69,99907565997.10,86950671777.97,6965842291.67,79984829486.30,4,49,49,405,D,RSG,1,6,2022,4,2022,3,09,30
2022-09-30,null,50410257,Miscellaneous Receipts:,null,null,null,null,null,null,null,null,null,4,50,50,800,S,RSG,1,7,2022,4,2022,3,09,30
2022-09-30,50410257,50410259,Deposit of Earnings, Federal Reserve System,1058666243.29,null,1058666243.29,106674493047.34,null,106674493047.34,100054148597.23,null,100054148597.23,4,51,51,805,D,RSG,2,7.1,2022,4,2022,3,09,30
2022-09-30,50410257,50410261,Universal Service Fund,605397517.69,null,605397517.69,7701553819.06,null,7701553819.06,9195027194.94,null,9195027194.94,4,52,52,807,D,RSG,2,7.2,2022,4,2022,3,09,30
2022-09-30,50410257,50410263,All Other,1627045446.96,877664.28,1626167782.68,21031851289.05,10408819.24,21021442469.81,24053723839.35,17450151.33,24036273688.02,4,53,53,810,D,RSG,2,7.3,2022,4,2022,3,09,30
2022-09-30,50410257,50410265,Total -- Miscellaneous Receipts,3291109207.94,877664.28,3290231543.66,135407898155.45,10408819.24,135397489336.21,133302899631.52,17450151.33,133285449480.19,4,54,54,820,T,RSG,2,7.4,2022,4,2022,3,09,30
2022-09-30,null,50410267,Total -- Receipts,509837946536.13,22115058304.09,487722888232.04,5213650752518.11,317531708597.11,4896119043921.00,4396060277094.49,350081418367.08,4045978858727.41,4,55,55,830,T,SL,1,8,2022,4,2022,3,09,30
2022-09-30,50410267,50410296,Total -- On-Budget,411103830076.10,16911584304.09,394192245772.01,4142472361450.43,312328234597.11,3830144126853.32,3436133071923.47,342476436367.08,3093656635556.39,4,56,56,840,T,SL,2,8.1,2022,4,2022,3,09,30
2022-09-30,50410267,50410299,Total -- Off-Budget,98734116460.03,5203474000.00,93530642460.03,1071178391067.68,5203474000.00,1065974917067.68,959927205171.02,7604982000.00,952322223171.02,4,57,57,850,T,SL,2,8.2,2022,4,2022,3,09,30
2022-08-31,null,50168505,Individual Income Taxes,null,null,null,null,null,null,null,null,null,4,1,1,100,D,RSG,1,1,2022,4,2022,3,08,31
2022-08-31,50168505,50168506,Withheld,139167200606.70,null,null,1613005109469.59,null,null,1378997561066.92,null,null,4,2,2,102,D,SRS,2,1.1,2022,4,2022,3,08,31
2022-08-31,50168505,50168508,Presidential Election Campaign Fund,647097.00,null,null,22922012.00,null,null,23273157.00,null,null,4,3,3,105,D,SRS,2,1.2,2022,4,2022,3,08,31
2022-08-31,50168505,50168510,Other,15580161808.86,null,null,1026021495962.25,null,null,717194578332.49,null,null,4,4,4,110,D,SRS,2,1.3,2022,4,2022,3,08,31
2022-08-31,50168505,50168512,Total -- Individual Income Taxes,154748009512.56,13812354149.66,140935655362.90,2639049527443.84,234630452071.77,2404419075372.07,2096215412556.41,266626197615.86,1829589214940.55,4,5,5,120,T,RSG,2,1.4,2022,4,2022,3,08,31
2022-08-31,null,50168514,Corporation Income Taxes,6369349400.57,1733570174.97,4635779225.60,366827266554.28,47903409820.93,318923856733.35,329902716347.80,44784198274.71,285118518073.09,4,6,6,130,D,RSG,1,2,2022,4,2022,3,08,31
2022-08-31,null,50168516,Social Insurance and Retirement Receipts:,null,null,null,null,null,null,null,null,null,4,7,7,140,S,RSG,1,3,2022,4,2022,3,08,31
2022-08-31,50168516,50168518,Employment and General Retirement:,null,null,null,null,null,null,null,null,null,4,8,8,150,S,RSG,2,3.1,2022,4,2022,3,08,31
2022-08-31,50168518,50168520,Federal Old-Age and Survivors Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,9,9,160,S,RSG,3,3.1.1,2022,4,2022,3,08,31
2022-08-31,50168520,50168522,Federal Insurance Contributions Act Taxes,72844000000.00,null,72844000000.00,783406000000.00,null,783406000000.00,732691324700.00,3309850000.00,729381474700.00,4,10,10,200,D,SRS,4,3.1.1.1,2022,4,2022,3,08,31
2022-08-31,50168520,50168524,Self-Employment Contributions Act Taxes,824000000.00,null,824000000.00,39567000000.00,null,39567000000.00,36264000000.00,null,36264000000.00,4,11,11,204,D,SRS,4,3.1.1.2,2022,4,2022,3,08,31
2022-08-31,50168520,50168530,Adjustments Attributable to Prior Years-FICA,null,null,null,7647838009.98,null,7647838009.98,-26567143774.57,null,-26567143774.57,4,12,12,209,D,SRS,4,3.1.1.3,2022,4,2022,3,08,31
2022-08-31,50168520,50168532,Adjustments Attrbutable to Prior Years-SECA,null,null,null,614636394.62,null,614636394.62,251104023.87,null,251104023.87,4,13,13,14360,D,SRS,4,3.1.1.4,2022,4,2022,3,08,31
2022-08-31,50168520,50168538,Total -- Federal Old-Age and Survivors Insurance Trust Fund,73668000000.00,null,73668000000.00,831235474404.60,null,831235474404.60,742639284949.30,3309850000.00,739329434949.30,4,14,14,210,T,RSG,4,3.1.1.5,2022,4,2022,3,08,31
2022-08-31,50168518,50168544,Federal Disability Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,15,15,211,S,RSG,3,3.1.2,2022,4,2022,3,08,31
2022-08-31,50168544,50168550,Federal Insurance Contributions Act Taxes,12370000000.00,null,12370000000.00,133033000000.00,null,133033000000.00,124419739300.00,562050000.00,123857689300.00,4,16,16,212,D,SRS,4,3.1.2.1,2022,4,2022,3,08,31
2022-08-31,50168544,50168556,Self-Employment Contributions Act Taxes,140000000.00,null,140000000.00,6720000000.00,null,6720000000.00,6160000000.00,null,6160000000.00,4,17,17,214,D,SRS,4,3.1.2.2,2022,4,2022,3,08,31
2022-08-31,50168544,50168567,Adjustments Attributable to Prior Years-FICA,null,null,null,1319887592.88,null,1319887592.88,-4466185916.58,null,-4466185916.58,4,18,18,219,D,SRS,4,3.1.2.3,2022,4,2022,3,08,31
2022-08-31,50168544,50168570,Adjustments Attributable to Prior Years-SECA,null,null,null,135912610.17,null,135912610.17,54691646.87,null,54691646.87,4,19,19,14361,D,SRS,4,3.1.2.4,2022,4,2022,3,08,31
2022-08-31,50168544,50168575,Total -- Federal Disability Insurance Trust Fund,12510000000.00,null,12510000000.00,141208800203.05,null,141208800203.05,126168245030.29,562050000.00,125606195030.29,4,20,20,220,T,RSG,4,3.1.2.5,2022,4,2022,3,08,31
2022-08-31,50168518,50168579,Federal Hospital Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,21,21,221,S,RSG,3,3.1.3,2022,4,2022,3,08,31
2022-08-31,50168579,50168583,Federal Insurance Contributions Act Taxes,26495000000.00,null,26495000000.00,280194000000.00,null,280194000000.00,254481000000.00,null,254481000000.00,4,22,22,222,D,SRS,4,3.1.3.1,2022,4,2022,3,08,31
2022-08-31,50168579,50168587,Self-Employment Contributions Act Taxes,368000000.00,null,368000000.00,18472000000.00,null,18472000000.00,17051000000.00,null,17051000000.00,4,23,23,224,D,SRS,4,3.1.3.2,2022,4,2022,3,08,31
2022-08-31,50168579,50168591,Receipts from Railroad Retirement Board,null,null,null,505300000.00,null,505300000.00,551800000.00,null,551800000.00,4,24,24,226,D,SRS,4,3.1.3.3,2022,4,2022,3,08,31
2022-08-31,50168579,50168599,Adjustments Attributable to Prior Years-FICA,null,null,null,8059363279.86,null,8059363279.86,-6981911072.85,null,-6981911072.85,4,25,25,228,D,SRS,4,3.1.3.4,2022,4,2022,3,08,31
2022-08-31,50168579,50168603,Adjustments Attributable to Prior Years-SECA,null,null,null,128139504.91,null,128139504.91,175778846.11,null,175778846.11,4,26,26,14362,D,SRS,4,3.1.3.5,2022,4,2022,3,08,31
2022-08-31,50168579,50168608,Total -- Federal Hospital Insurance Trust Fund,26863000000.00,null,26863000000.00,307358802784.77,null,307358802784.77,265277667773.26,null,265277667773.26,4,27,27,229,T,RSG,4,3.1.3.6,2022,4,2022,3,08,31
2022-08-31,50168518,50168612,Railroad Retirement:,null,null,null,null,null,null,null,null,null,4,28,28,230,S,RSG,3,3.1.4,2022,4,2022,3,08,31
2022-08-31,50168612,50168617,Rail Pension and Supplemental Annuity,252778801.32,-9810006.65,262588807.97,2981087688.74,13722239.47,2967365449.27,2655768608.06,19520763.90,2636247844.16,4,29,29,235,D,RSG,4,3.1.4.1,2022,4,2022,3,08,31
2022-08-31,50168612,50168623,Social Security Equivalent Account,200390431.43,-8731984.69,209122416.12,2119305688.04,12182428.00,2107123260.04,1658622164.68,17693414.97,1640928749.71,4,30,30,240,D,RSG,4,3.1.4.2,2022,4,2022,3,08,31
2022-08-31,50168518,50168627,Total -- Employment and General Retirement,113494169232.75,-18541991.34,113512711224.09,1284903470769.20,25904667.47,1284877566101.73,1138399588525.59,3909114178.87,1134490474346.72,4,31,31,241,T,RSG,3,3.1.5,2022,4,2022,3,08,31
2022-08-31,50168516,50168630,Unemployment Insurance:,null,null,null,null,null,null,null,null,null,4,32,32,250,S,RSG,2,3.2,2022,4,2022,3,08,31
2022-08-31,50168630,50168633,Deposits by States,8234972330.61,null,8234972330.61,58916847253.99,null,58916847253.99,44713154448.74,null,44713154448.74,4,33,33,251,D,RSG,3,3.2.1,2022,4,2022,3,08,31
2022-08-31,50168630,50168636,Federal Unemployment Taxes,623025605.48,7337441.05,615688164.43,7012212350.38,107817668.34,6904394682.04,6248922430.16,133875612.74,6115046817.42,4,34,34,254,D,RSG,3,3.2.2,2022,4,2022,3,08,31
2022-08-31,50168630,50168639,Railroad Unemployment Taxes,22803222.34,null,22803222.34,276672842.73,null,276672842.73,110683055.77,null,110683055.77,4,35,35,255,D,RSG,3,3.2.3,2022,4,2022,3,08,31
2022-08-31,50168630,50168644,Total -- Unemployment Insurance,8880801158.43,7337441.05,8873463717.38,66205732447.10,107817668.34,66097914778.76,51072759934.67,133875612.74,50938884321.93,4,36,36,269,T,RSG,3,3.2.4,2022,4,2022,3,08,31
2022-08-31,50168516,50168646,Other Retirement:,null,null,null,null,null,null,null,null,null,4,37,37,270,S,RSG,2,3.3,2022,4,2022,3,08,31
2022-08-31,50168646,50168648,Federal Employees' Retirement--Employee Share,484142285.26,null,484142285.26,5645607835.56,null,5645607835.56,5152348598.53,null,5152348598.53,4,38,38,279,D,RSG,3,3.3.1,2022,4,2022,3,08,31
2022-08-31,50168646,50168650,Non-Federal Employees Retirement,2476312.11,null,2476312.11,22372831.63,null,22372831.63,24060568.21,null,24060568.21,4,39,39,284,D,RSG,3,3.3.2,2022,4,2022,3,08,31
2022-08-31,50168646,50168653,Total -- Other Retirement,486618597.37,null,486618597.37,5667980667.19,null,5667980667.19,5176409166.74,null,5176409166.74,4,40,40,285,T,RSG,3,3.3.3,2022,4,2022,3,08,31
2022-08-31,50168516,50168656,Total -- Social Insurance and Retirement Receipts,122861588988.55,-11204550.29,122872793538.84,1356777183883.49,133722335.81,1356643461547.68,1194648757627.00,4042989791.61,1190605767835.39,4,41,41,286,T,RSG,2,3.4,2022,4,2022,3,08,31
2022-08-31,null,50168658,Excise Taxes:,null,null,null,null,null,null,null,null,null,4,42,42,300,S,RSG,1,4,2022,4,2022,3,08,31
2022-08-31,50168658,50168660,Miscellaneous Excise Taxes,3418623530.13,294100045.71,3124523484.42,32680202999.25,5963071146.54,26717131852.71,29263591109.03,7023538567.38,22240052541.65,4,43,43,305,D,RSG,2,4.1,2022,4,2022,3,08,31
2022-08-31,50168658,50168663,Airport and Airway Trust Fund,3655300264.31,4620337.78,3650679926.53,9558983953.66,21061984.45,9537921969.21,10326038633.07,10786581.03,10315252052.04,4,44,44,308,D,RSG,2,4.2,2022,4,2022,3,08,31
2022-08-31,50168658,50168665,Highway Trust Fund,1800341808.15,43102000.00,1757239808.15,40013344777.80,379848000.00,39633496777.80,32236778284.22,377288000.00,31859490284.22,4,45,45,310,D,RSG,2,4.3,2022,4,2022,3,08,31
2022-08-31,50168658,50168667,Black Lung Disability Trust Fund,19680461.00,null,19680461.00,159472484.00,null,159472484.00,232773672.00,null,232773672.00,4,46,46,313,D,RSG,2,4.4,2022,4,2022,3,08,31
2022-08-31,50168658,50168669,Total -- Excise Taxes,8893946063.59,341822383.49,8552123680.10,82412004214.71,6363981130.99,76048023083.72,72059181698.32,7411613148.41,64647568549.91,4,47,47,314,T,RSG,2,4.5,2022,4,2022,3,08,31
2022-08-31,null,50168671,Estate and Gift Taxes,2537214951.88,110872467.49,2426342484.39,29912089403.25,824120663.05,29087968740.20,25526418891.96,818883170.08,24707535721.88,4,48,48,350,D,RSG,1,5,2022,4,2022,3,08,31
2022-08-31,null,50168675,Customs Duties,9133118931.28,677547102.47,8455571828.81,96717945534.90,5551433115.51,91166512419.39,78601002131.03,6473397354.56,72127604776.47,4,49,49,405,D,RSG,1,6,2022,4,2022,3,08,31
2022-08-31,null,50168679,Miscellaneous Receipts:,null,null,null,null,null,null,null,null,null,4,50,50,800,S,RSG,1,7,2022,4,2022,3,08,31
2022-08-31,50168679,50168682,Deposit of Earnings, Federal Reserve System,6611842300.56,null,6611842300.56,105615826804.05,null,105615826804.05,88710265729.48,null,88710265729.48,4,51,51,805,D,RSG,2,7.1,2022,4,2022,3,08,31
2022-08-31,50168679,50168685,Universal Service Fund,617057955.81,null,617057955.81,7096156301.37,null,7096156301.37,8515267841.73,null,8515267841.73,4,52,52,807,D,RSG,2,7.2,2022,4,2022,3,08,31
2022-08-31,50168679,50168689,All Other,8620193942.79,959724.96,8619234217.83,19460383477.13,9531154.96,19450852322.17,22446555740.72,12530431.96,22434025308.76,4,53,53,810,D,RSG,2,7.3,2022,4,2022,3,08,31
2022-08-31,50168679,50168693,Total -- Miscellaneous Receipts,15849094199.16,959724.96,15848134474.20,132172366582.55,9531154.96,132162835427.59,119672089311.93,12530431.96,119659558879.97,4,54,54,820,T,RSG,2,7.4,2022,4,2022,3,08,31
2022-08-31,null,50168697,Total -- Receipts,320392322047.59,16665921452.75,303726400594.84,4703868383617.02,295416650293.02,4408451733324.00,3916625578564.45,330169809787.19,3586455768777.26,4,55,55,830,T,SL,1,8,2022,4,2022,3,08,31
2022-08-31,50168697,50168706,Total -- On-Budget,234214322047.59,16665921452.75,217548400594.84,3731424109009.37,295416650293.02,3436007458716.35,3047818048584.86,326297909787.19,2721520138797.67,4,56,56,840,T,SL,2,8.1,2022,4,2022,3,08,31
2022-08-31,50168697,50168709,Total -- Off-Budget,86178000000.00,null,86178000000.00,972444274607.65,null,972444274607.65,868807529979.59,3871900000.00,864935629979.59,4,57,57,850,T,SL,2,8.2,2022,4,2022,3,08,31
2022-07-31,null,49918239,Individual Income Taxes,null,null,null,null,null,null,null,null,null,4,1,1,100,D,RSG,1,1,2022,4,2022,3,07,31
2022-07-31,49918239,49918240,Withheld,121207650228.04,null,null,1473837908862.89,null,null,1251502520468.93,null,null,4,2,2,102,D,SRS,2,1.1,2022,4,2022,3,07,31
2022-07-31,49918239,49918241,Presidential Election Campaign Fund,543333.00,null,null,22274915.00,null,null,22268343.00,null,null,4,3,3,105,D,SRS,2,1.2,2022,4,2022,3,07,31
2022-07-31,49918239,49918243,Other,15341897592.40,null,null,1010441334153.39,null,null,703829631207.18,null,null,4,4,4,110,D,SRS,2,1.3,2022,4,2022,3,07,31
2022-07-31,49918239,49918245,Total -- Individual Income Taxes,136550091153.44,8538496151.62,128011595001.82,2484301517931.28,220818097922.11,2263483420009.17,1955354420019.11,249611785510.99,1705742634508.12,4,5,5,120,T,RSG,2,1.4,2022,4,2022,3,07,31
2022-07-31,null,49918247,Corporation Income Taxes,15682484807.03,7447360719.01,8235124088.02,360457917153.71,46169839645.96,314288077507.75,323945230074.52,41859221990.53,282086008083.99,4,6,6,130,D,RSG,1,2,2022,4,2022,3,07,31
2022-07-31,null,49918249,Social Insurance and Retirement Receipts:,null,null,null,null,null,null,null,null,null,4,7,7,140,S,RSG,1,3,2022,4,2022,3,07,31
2022-07-31,49918249,49918251,Employment and General Retirement:,null,null,null,null,null,null,null,null,null,4,8,8,150,S,RSG,2,3.1,2022,4,2022,3,07,31
2022-07-31,49918251,49918253,Federal Old-Age and Survivors Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,9,9,160,S,RSG,3,3.1.1,2022,4,2022,3,07,31
2022-07-31,49918253,49918255,Federal Insurance Contributions Act Taxes,67680000000.00,null,67680000000.00,710562000000.00,null,710562000000.00,667492324700.00,3309850000.00,664182474700.00,4,10,10,200,D,SRS,4,3.1.1.1,2022,4,2022,3,07,31
2022-07-31,49918253,49918257,Self-Employment Contributions Act Taxes,719000000.00,null,719000000.00,38743000000.00,null,38743000000.00,35515000000.00,null,35515000000.00,4,11,11,204,D,SRS,4,3.1.1.2,2022,4,2022,3,07,31
2022-07-31,49918253,49918261,Adjustments Attributable to Prior Years-FICA,null,null,null,7647838009.98,null,7647838009.98,-26567143774.57,null,-26567143774.57,4,12,12,209,D,SRS,4,3.1.1.3,2022,4,2022,3,07,31
2022-07-31,49918253,49918263,Adjustments Attrbutable to Prior Years-SECA,null,null,null,614636394.62,null,614636394.62,251104023.87,null,251104023.87,4,13,13,14360,D,SRS,4,3.1.1.4,2022,4,2022,3,07,31
2022-07-31,49918253,49918265,Total -- Federal Old-Age and Survivors Insurance Trust Fund,68399000000.00,null,68399000000.00,757567474404.60,null,757567474404.60,676691284949.30,3309850000.00,673381434949.30,4,14,14,210,T,RSG,4,3.1.1.5,2022,4,2022,3,07,31
2022-07-31,49918251,49918267,Federal Disability Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,15,15,211,S,RSG,3,3.1.2,2022,4,2022,3,07,31
2022-07-31,49918267,49918269,Federal Insurance Contributions Act Taxes,11493000000.00,null,11493000000.00,120663000000.00,null,120663000000.00,113347739300.00,562050000.00,112785689300.00,4,16,16,212,D,SRS,4,3.1.2.1,2022,4,2022,3,07,31
2022-07-31,49918267,49918271,Self-Employment Contributions Act Taxes,122000000.00,null,122000000.00,6580000000.00,null,6580000000.00,6033000000.00,null,6033000000.00,4,17,17,214,D,SRS,4,3.1.2.2,2022,4,2022,3,07,31
2022-07-31,49918267,49918275,Adjustments Attributable to Prior Years-FICA,null,null,null,1319887592.88,null,1319887592.88,-4466185916.58,null,-4466185916.58,4,18,18,219,D,SRS,4,3.1.2.3,2022,4,2022,3,07,31
2022-07-31,49918267,49918277,Adjustments Attributable to Prior Years-SECA,null,null,null,135912610.17,null,135912610.17,54691646.87,null,54691646.87,4,19,19,14361,D,SRS,4,3.1.2.4,2022,4,2022,3,07,31
2022-07-31,49918267,49918279,Total -- Federal Disability Insurance Trust Fund,11615000000.00,null,11615000000.00,128698800203.05,null,128698800203.05,114969245030.29,562050000.00,114407195030.29,4,20,20,220,T,RSG,4,3.1.2.5,2022,4,2022,3,07,31
2022-07-31,49918251,49918281,Federal Hospital Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,21,21,221,S,RSG,3,3.1.3,2022,4,2022,3,07,31
2022-07-31,49918281,49918283,Federal Insurance Contributions Act Taxes,23994000000.00,null,23994000000.00,253699000000.00,null,253699000000.00,232001000000.00,null,232001000000.00,4,22,22,222,D,SRS,4,3.1.3.1,2022,4,2022,3,07,31
2022-07-31,49918281,49918285,Self-Employment Contributions Act Taxes,316000000.00,null,316000000.00,18104000000.00,null,18104000000.00,16718000000.00,null,16718000000.00,4,23,23,224,D,SRS,4,3.1.3.2,2022,4,2022,3,07,31
